bits,nu,mu,tu,unroll,p,gs,time
4,1,16,16,1,64,-1,35531
4,1,16,16,2,64,-1,50269
4,1,16,16,4,64,-1,38502
4,1,16,16,8,64,-1,44722
3,1,16,16,5,64,-1,2.14748e+09
2,1,16,16,1,64,-1,41703
2,1,16,16,2,64,-1,45811
2,1,16,16,4,64,-1,38445
2,1,16,16,8,64,-1,39580
4,1,16,16,1,64,64,41118
4,1,16,16,2,64,64,36409
4,1,16,16,4,64,64,40801
4,1,16,16,8,64,64,41922
3,1,16,16,5,64,64,41782
2,1,16,16,1,64,64,39014
2,1,16,16,2,64,64,42765
2,1,16,16,4,64,64,38547
2,1,16,16,8,64,64,37648
4,1,16,32,1,64,-1,53908
4,1,16,32,2,64,-1,33599
4,1,16,32,4,64,-1,35466
4,1,16,32,8,64,-1,37093
3,1,16,32,5,64,-1,2.14748e+09
2,1,16,32,1,64,-1,52138
2,1,16,32,2,64,-1,48262
2,1,16,32,4,64,-1,64486
2,1,16,32,8,64,-1,38992
4,1,16,32,1,64,64,34029
4,1,16,32,2,64,64,37589
4,1,16,32,4,64,64,42790
4,1,16,32,8,64,64,38647
3,1,16,32,5,64,64,35296
2,1,16,32,1,64,64,34892
2,1,16,32,2,64,64,35251
2,1,16,32,4,64,64,36377
2,1,16,32,8,64,64,44426
